AuthID,FieldID
A-10430,F-1
A-10431,F-1
A-10432,F-12
A-10433,F-9
A-10434,F-10
A-10435,F-0
A-10436,F-4
A-10436,F-12
A-10437,F-5
A-10438,F-6
A-10439,F-0
A-1044,F-0
A-10440,F-2
A-10441,F-0
A-10442,F-5
A-10443,F-1
A-10444,F-10
A-10445,F-8
A-10446,F-1
A-10447,F-7
A-10448,F-7
A-10449,F-2
A-1045,F-7
A-10450,F-8
A-10451,F-10
A-10452,F-14
A-10453,F-9
A-10454,F-7
A-10454,F-14
A-10455,F-4
A-10456,F-2
A-10457,F-8
A-10458,F-11
A-1046,F-4
A-10460,F-12
A-10461,F-0
A-10462,F-1
A-10463,F-3
A-10464,F-8
A-10465,F-0
A-10466,F-10
A-10467,F-6
A-10468,F-5
A-10469,F-3
A-1047,F-5
A-10470,F-6
A-10471,F-14
A-10472,F-8
A-10473,F-13
A-10475,F-1
A-10475,F-12
A-10477,F-8
A-10478,F-5
A-10479,F-10
A-1048,F-14
A-10480,F-12
A-10481,F-13
A-10482,F-2
A-10483,F-5
A-10484,F-7
A-10485,F-2
A-10486,F-3
A-10487,F-1
A-10488,F-7
A-10489,F-8
A-1049,F-8
A-10490,F-1
A-10491,F-9
A-10492,F-4
A-10492,F-14
A-10493,F-8
A-10493,F-14
A-10494,F-9
A-10495,F-2
A-10496,F-11
A-10497,F-9
A-10498,F-2
A-10499,F-2
A-105,F-0
A-105,F-7
A-1050,F-12
A-10500,F-2
A-10500,F-3
A-10501,F-12
A-10502,F-12
A-10503,F-14
A-10505,F-2
A-10506,F-5
A-10507,F-12
A-10508,F-13
A-10509,F-7
A-1051,F-11
A-10510,F-2
A-10511,F-4
A-10512,F-2
A-10513,F-12
A-10514,F-7
A-10515,F-8
A-10516,F-6
A-10518,F-6
A-10518,F-8
A-10519,F-2
A-1052,F-11
A-10520,F-4
A-10520,F-14
A-10521,F-2
A-10522,F-6
A-10523,F-1
A-10524,F-7
A-10525,F-0
A-10526,F-14
A-10527,F-4
A-10528,F-4
A-10529,F-14
A-1053,F-8
A-10530,F-7
A-10531,F-10
A-10532,F-13
A-10533,F-2
A-10534,F-7
A-10535,F-6
A-10536,F-8
A-10536,F-14
A-10537,F-2
A-10538,F-1
A-10539,F-4
A-1054,F-7
A-1054,F-12
A-10540,F-6
A-10540,F-12
A-10541,F-5
A-10542,F-6
A-10543,F-1
A-10544,F-3
A-10546,F-13
A-10547,F-7
A-10548,F-2
A-10548,F-3
A-10549,F-9
A-1055,F-3
A-10550,F-2
A-10552,F-2
A-10553,F-14
A-10554,F-7
A-10555,F-2
A-10556,F-5
A-10557,F-2
A-10558,F-6
A-10559,F-9
A-1056,F-7
A-10560,F-3
A-10561,F-4
A-10561,F-9
A-10562,F-8
A-10563,F-7
A-10563,F-14
A-10564,F-5
A-10566,F-13
A-10567,F-5
A-10568,F-2
A-10569,F-4
A-1057,F-13
A-10570,F-8
A-10570,F-10
A-10571,F-0
A-10572,F-2
A-10573,F-3
A-10574,F-5
A-10575,F-11
A-10576,F-11
A-10577,F-8
A-10578,F-2
A-10579,F-13
A-1058,F-13
A-10580,F-2
A-10581,F-1
A-10582,F-12
A-10584,F-7
A-10585,F-2
A-10585,F-4
A-10586,F-0
A-10587,F-11
A-10588,F-4
A-10589,F-4
A-1059,F-2
A-10590,F-8
A-10591,F-4
A-10591,F-12
A-10592,F-0
A-10593,F-10
A-10594,F-2
A-10594,F-11
A-10595,F-2
A-10596,F-3
A-10597,F-6
A-10598,F-5
A-106,F-7
A-106,F-9
A-1060,F-0
A-1060,F-10
A-10600,F-9
A-10601,F-4
A-10602,F-11
A-10602,F-13
A-10603,F-2
A-10604,F-8
A-10605,F-9
A-10606,F-11
A-10607,F-6
A-10608,F-3
A-10609,F-13
A-1061,F-6
A-10610,F-5
A-10612,F-5
